"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"168","Ifitm2",3.11758963768447e-58,0.359065866690626,0.929,0.675,1.00651381452643e-53
"169","S100a1",3.26612309246925e-58,0.375653201465961,0.572,0.292,1.0544678404037e-53
"170","Cybb",3.48101381743014e-58,0.449605347130596,0.944,0.794,1.12384531095732e-53
"171","Rasgrp3",5.59315945490347e-58,-0.380217590376686,0.035,0.204,1.80575153001559e-53
"172","Tgm2",5.94878165902872e-58,0.499792524278864,0.777,0.531,1.92056415861742e-53
"173","Rnaset2b",9.08614989837033e-58,-0.733716131195079,0.594,0.663,2.93346349468886e-53
"174","Atp5l",2.04324693847674e-57,0.341055962483424,0.98,0.928,6.59662274087217e-53
"175","Gpi1",3.76989182654692e-57,0.405764612107312,0.937,0.797,1.21710957620067e-52
"176","Myof",3.93628224524139e-57,0.307819569797326,0.526,0.246,1.27082872287618e-52
"177","Tpi1",4.17409704110976e-57,0.440129924450709,0.945,0.801,1.34760722972229e-52
"178","S100a11",6.47136128213067e-57,0.384702480807272,0.944,0.675,2.08927898993589e-52
"179","H2-K1",1.85279034002459e-56,-0.342184794822597,0.995,0.993,5.9817336127694e-52
"180","Vegfa",2.65251501633963e-56,0.378874025725533,0.658,0.372,8.5636447302525e-52
"181","Ccrl2",3.16111569010332e-56,0.544872281399227,0.824,0.584,1.02056620054986e-51
"182","Cd38",5.30452570199063e-56,0.369710992625847,0.68,0.389,1.71256612288767e-51
"183","Lgmn",6.89692382211766e-56,-1.51397657244255,0.904,0.868,2.22667185597069e-51
"184","Siglecf",1.15960214388766e-55,-0.453713556476233,0.036,0.2,3.74377552154132e-51
"185","Aldh3b1",1.28735491532908e-55,0.347940075528147,0.541,0.267,4.15622534413993e-51
"186","Emilin2",1.42880453936177e-55,0.345057154476312,0.509,0.234,4.61289545532949e-51
"187","Upp1",3.1654917256022e-55,0.549209931087647,0.495,0.226,1.02197900361067e-50
"188","Gng10",7.77869606376518e-55,-0.700841577970008,0.748,0.767,2.51135202418659e-50
"189","Fpr2",2.65143692203733e-54,0.417077059860729,0.509,0.247,8.56016410279752e-50
"190","Eif4ebp1",5.34515309381965e-53,0.406410327113355,0.795,0.566,1.72568267633968e-48
"191","Hmox1",1.39508161870182e-52,0.405175305775465,0.648,0.379,4.50402100597881e-48
"192","Capn3",2.00313109792214e-52,-0.362725508314823,0.03,0.184,6.46710874964162e-48
"193","Fcor",2.48407472979367e-52,0.30750240501808,0.366,0.137,8.01983526513887e-48
"194","Dbi",2.94778373883929e-52,0.374800650797369,0.859,0.619,9.51691980084265e-48
"195","Cd24a",5.11677463666882e-52,0.411351463001603,0.393,0.158,1.65195069144853e-47
"196","Olr1",9.83243838646939e-52,0.259093261618746,0.302,0.095,3.17440273307164e-47
"197","AA467197",1.90355615126133e-51,0.459260688047729,0.915,0.71,6.14563103434721e-47
"198","Arhgap5",2.00764124505e-51,-0.686313989108827,0.208,0.397,6.48166975964393e-47
"199","Grn",3.62556925583782e-51,-0.997858423730348,0.963,0.928,1.17051503424724e-46
"200","Gsn",3.64171344138677e-51,0.339385421938344,0.7,0.402,1.17572718455172e-46
"201","Iqgap1",4.14784035032816e-51,0.348617695950713,0.808,0.544,1.33913025710345e-46
"202","Tpt1",6.30150688675834e-51,0.250036154325933,0.989,0.978,2.03444149838993e-46
"203","H3f3a",7.96106238538232e-51,0.350463432969462,0.98,0.921,2.57022899112068e-46
"204","Clec4a3",9.30815578458108e-51,0.366660313334379,0.481,0.224,3.005138095052e-46
"205","Npnt",9.70486374723079e-51,-0.347541999506718,0.027,0.174,3.13321526079346e-46
"206","Golm1",1.53277620207596e-50,-0.571138345731102,0.13,0.313,4.94856796840225e-46
"207","Chchd10",3.963811349437e-50,0.359621505311401,0.503,0.25,1.27971649416574e-45
"208","Selenom",4.71614541683066e-50,0.346618474622574,0.489,0.24,1.52260754782378e-45
"209","Il1b",5.98262967556744e-50,0.494252559108315,0.927,0.755,1.93149199075695e-45
"210","Ccl6",6.63445544576986e-50,0.558466684338288,0.728,0.499,2.1419339406668e-45
"211","Pld4",9.92207486962538e-50,-0.642639292167338,0.849,0.83,3.20334187165855e-45
"212","Mir99ahg",1.18003226399644e-49,-0.367247756447445,0.02,0.158,3.80973416431251e-45
"213","Fcer1g",1.43523667641225e-49,0.256002613978084,0.996,0.975,4.63366160979694e-45
"214","Hpgds",1.84289536936006e-49,-0.727734328495736,0.212,0.391,5.94978769997896e-45
"215","Sgk1",4.23747318679282e-49,0.428273727007291,0.832,0.617,1.36806821835606e-44
"216","B2m",5.30859896881911e-49,-0.316794928117266,0.998,0.997,1.71388117708325e-44
"217","Ppfia4",6.065077332209e-49,-0.752692152350399,0.378,0.524,1.95811021670367e-44
"218","Cib1",8.13010590093146e-49,0.32103057085921,0.567,0.301,2.62480469011572e-44
"219","Ms4a8a",1.26643411919949e-48,0.28482581039646,0.249,0.068,4.08868255383554e-44
"220","Pcnx",4.72472318823792e-48,0.271836079717524,0.372,0.149,1.52537688132261e-43
"221","Ddx5",9.6351546725725e-48,-0.461911593853159,0.952,0.946,3.11070968604003e-43
"222","Cdkn1a",5.03185186484966e-47,0.404355732867879,0.838,0.601,1.62453337456671e-42
"223","Blvrb",1.34387775469274e-46,0.337933227232531,0.779,0.528,4.33870933102552e-42
"224","Bhlhe41",1.81106643081403e-46,-0.719374160727472,0.118,0.29,5.84702797188309e-42
"225","Ctsd",2.01783863492319e-46,-1.31820048378927,0.972,0.966,6.51459203284953e-42
"226","Prdm1",2.04165568400324e-46,0.2794758219527,0.382,0.159,6.59148537580447e-42
"227","Fxyd5",3.84033732131257e-46,0.287996246290196,0.981,0.906,1.23985290418576e-41
"228","Aoah",5.59683050797971e-46,0.269067734665296,0.498,0.243,1.80693672950125e-41
"229","Ift172",1.16831430087066e-45,0.277194651330343,0.387,0.167,3.77190272036092e-41
"230","H2-D1",1.48261095605397e-45,-0.263273541964593,0.997,0.992,4.78660947162023e-41
"231","Cox8a",1.79931776771337e-45,0.289115746479925,0.987,0.94,5.8090974130626e-41
"232","Cxxc5",2.23803234066362e-45,-0.274477135705668,0.025,0.157,7.2254874118325e-41
"233","Tmem51",2.27997177847726e-45,0.256517702124227,0.382,0.16,7.36088888681385e-41
"234","Klk8",2.76926870343663e-45,-0.295069449086152,0.026,0.16,8.94058400904517e-41
"235","Fcrls",3.00819447960644e-45,-0.72225381919567,0.091,0.261,9.7119558774094e-41
"236","Dmxl2",4.38512368303849e-45,0.25373086857913,0.338,0.133,1.41573718106898e-40
"237","Fam162a",4.79570803574521e-45,0.388673568353635,0.636,0.401,1.54829433934034e-40
"238","Sall1",5.64303238866024e-45,-0.313029880284319,0.028,0.163,1.82185300667896e-40
"239","Ncf4",5.75514985949631e-45,0.369534618613465,0.782,0.517,1.85805013213838e-40
"240","Ass1",8.28789419056703e-45,0.342456990514953,0.908,0.692,2.67574663942457e-40
"241","Arg2",8.77423397898842e-45,0.260662629774548,0.388,0.163,2.83276144011641e-40
"242","Mcub",1.23964024323853e-44,0.304256331378997,0.531,0.278,4.00217852529559e-40
"243","Gm10076",1.98492564684965e-44,0.334897063902971,0.959,0.865,6.40833245085409e-40
"244","Tmsb10",2.01458511315775e-44,0.264592065982419,0.988,0.97,6.50408803782981e-40
"245","Pirb",2.37524322747927e-44,0.304469002172207,0.805,0.54,7.66847275991684e-40
"246","Ccr2",2.41528346408004e-44,0.529778674201585,0.65,0.389,7.79774266378241e-40
"247","Adora3",2.42504755456637e-44,-0.381569003706115,0.043,0.187,7.82926602991751e-40
"248","Cox7c",3.66096370635069e-44,0.263243292139782,0.975,0.931,1.18194213259532e-39
"249","Anxa1",5.90716478312241e-44,0.320674951607403,0.433,0.197,1.90712815023107e-39
"250","Rhoh",7.8549424078725e-44,-0.70369375548307,0.27,0.436,2.53596815638164e-39
"251","Cd83",8.81935530524717e-44,-0.837502800937533,0.446,0.582,2.84732886029905e-39
"252","Inhba",1.13406678648916e-43,0.433378119669895,0.33,0.131,3.66133462018025e-39
"253","Ifi27",1.65572513614957e-43,0.315230556446365,0.571,0.316,5.34550860205889e-39
"254","Osm",2.00663158498728e-43,0.436328502772861,0.579,0.336,6.47841007213144e-39
"255","Cfh",3.02196862953481e-43,-0.481533261344583,0.111,0.279,9.75642572045315e-39
"256","Cyp4f18",4.82168490258922e-43,0.398550539831717,0.823,0.596,1.55668097080093e-38
"257","Marcks",7.20945328771207e-43,-0.850422209805255,0.726,0.716,2.32757199393784e-38
"258","Trem1",8.91848556086164e-43,0.258107395932147,0.467,0.226,2.87933306332418e-38
"259","Cd302",1.17881083987894e-42,0.37741511224773,0.792,0.565,3.80579079654915e-38
"260","Fcgr2b",1.18517955664627e-42,0.372946004059982,0.917,0.776,3.82635219863249e-38
"261","Gch1",1.71710381756303e-42,0.292807198818674,0.534,0.287,5.54366967500225e-38
"262","Hacd4",1.77097617229368e-42,0.275077611099412,0.509,0.268,5.71759657225013e-38
"263","Ucp2",2.30516243323783e-42,0.309998993287187,0.964,0.897,7.44221691570832e-38
"264","Lamtor4",2.30682573798465e-42,0.361429702767118,0.814,0.598,7.44758689508343e-38
